iter	RMSE
0	0.1018983179
1	0.09316944377
2	0.08612839725
3	0.08063401978
4	0.07616696378
5	0.07230800879
6	0.0685475475
7	0.06567280766
8	0.06329636032
9	0.06111073259
10	0.05901835968
11	0.05712596364
12	0.05564809893
13	0.05405967553
14	0.05271237535
15	0.05152432715
16	0.05055664567
17	0.04955877944
18	0.04866359015
19	0.04783308635
20	0.04706778251
21	0.04641601155
22	0.04581373764
23	0.04534987132
24	0.04478024423
25	0.04438037367
26	0.04390826924
27	0.04347148066
28	0.0431073592
29	0.04278770386
30	0.04251197775
31	0.04226900165
32	0.04197338589
33	0.04176944843
34	0.04154707664
35	0.04131102604
36	0.04104025734
37	0.04087126178
38	0.04063422261
39	0.04041985866
40	0.04025285084
41	0.04005824354
42	0.03990634989
43	0.0397518221
44	0.03958388523
45	0.03947546246
46	0.03936200794
47	0.03923756174
48	0.03907945189
49	0.0389546142
50	0.03884645356
51	0.0386893544
52	0.03858158146
53	0.03847772679
54	0.03834067138
55	0.03822007866
56	0.03809090728
57	0.03793414646
58	0.0378078552
59	0.03769681638
60	0.03752668959
61	0.03738087505
62	0.03724609821
63	0.03712780564
64	0.03703512454
65	0.03691454339
66	0.03679356914
67	0.03666913241
68	0.03653281557
69	0.03646327323
70	0.03639518324
71	0.03631857949
72	0.03625141288
73	0.03609754296
74	0.0360301553
75	0.03593066228
76	0.03586070476
77	0.03574437333
78	0.03564338728
79	0.03553400251
80	0.03544642079
81	0.03533577745
82	0.03520179117
83	0.03513450644
84	0.03501624666
85	0.03492051265
86	0.03482410527
87	0.03476259909
88	0.03469249938
89	0.03462641525
90	0.0345750617
91	0.03450542371
92	0.0344033127
93	0.03430944162
94	0.03420941215
95	0.03416915875
96	0.03408944216
97	0.03403462186
98	0.03395297505
99	0.03385139444
100	0.03376564531
101	0.03371197131
102	0.03363201766
103	0.03358110019
104	0.03352689953
105	0.03347255896
106	0.03339707207
107	0.0333017225
108	0.03322579808
109	0.03312402381
110	0.03303744474
111	0.03299156125
112	0.03287831275
113	0.03279722456
114	0.03272600867
115	0.03263543148
116	0.03253299045
117	0.0324657982
118	0.03243251953
119	0.03236401844
120	0.03231201813
121	0.03221368029
122	0.03214886809
123	0.03207248145
124	0.03198839702
125	0.03193232531
126	0.03186145118
127	0.03182635491
128	0.03174303892
129	0.03168119462
130	0.03161787989
131	0.03154660502
132	0.03146358816
133	0.03135978671
134	0.03130689086
135	0.03123672896
136	0.03115599565
137	0.03110473208
138	0.03102597849
139	0.03095562651
140	0.0308807945
141	0.03084959938
142	0.03079275246
143	0.03073987647
144	0.03068654415
145	0.03062542565
146	0.03058731519
147	0.030530621
148	0.03047294146
149	0.03039124286
150	0.03034548994
151	0.03026190848
152	0.03019922626
153	0.03013269635
154	0.0300484957
155	0.02995001693
156	0.0298890245
157	0.02985305294
158	0.02982028376
159	0.02979025124
160	0.02972898031
161	0.02968408934
162	0.02961481646
163	0.02955418093
164	0.02947618076
165	0.02943175804
166	0.02938830715
167	0.02934542062
168	0.02926613809
169	0.0292190055
170	0.02914966068
171	0.02908874948
172	0.02901334312
173	0.02893488136
174	0.02887599687
175	0.02883453213
176	0.0287727665
177	0.02869004337
178	0.02861285925
179	0.02853317889
180	0.02851775797
181	0.02844880764
182	0.02839611568
183	0.02833965453
184	0.02827020661
185	0.0282353577
186	0.0281769312
187	0.02812983627
188	0.02807907934
189	0.02800513766
190	0.02794019924
191	0.02789624689
192	0.02785234534
193	0.02779123773
194	0.02776106409
195	0.02769632879
196	0.02764439917
197	0.02757264516
198	0.02748865599
199	0.02742191832
